City_ID,City,Country,Max Temp,Date,Lat,Lng,Hotel Name
0,Busselton,AU,44.01,8/28/2020 22:58,-33.65,115.33,Observatory Guest House
1,Svobodnyy,RU,54.88,8/28/2020 22:58,51.4,128.13,Alekseevskij Hotel
2,Keti Bandar,PK,82.35,8/28/2020 22:58,24.14,67.45,Haji laloo memon house
3,Bahia Blanca,AR,55.67,8/28/2020 22:54,-38.72,-62.27,Hotel Argos
4,Muros,ES,60.01,8/28/2020 22:54,42.78,-9.06,Apartment Av. Castelao
5,Avarua,CK,77.0,8/28/2020 22:53,-21.21,-159.78,Paradise Inn
6,Ushuaia,AR,33.8,8/28/2020 22:58,-54.8,-68.3,Albatros Hotel
7,Saldanha,ZA,46.4,8/28/2020 22:58,-33.01,17.94,Blue Bay Lodge
8,Cabo San Lucas,MX,80.01,8/28/2020 22:57,22.89,-109.91,Hotel Tesoro Los Cabos
9,Antalaha,MG,67.32,8/28/2020 22:58,-14.9,50.28,Hotel Vitasoa
10,New Norfolk,AU,55.0,8/28/2020 22:58,-42.78,147.06,The Shingles Riverside Cottages
11,Qaanaaq,GL,40.08,8/28/2020 22:58,77.48,-69.36,Qaanaaq Hotel
12,Puerto Ayora,EC,66.16,8/28/2020 22:58,-0.74,-90.35,Finch Bay Galapagos Hotel
13,Geraldton,AU,48.2,8/28/2020 22:58,-28.77,114.6,Broadwater Mariner Resort
14,Ribeira Grande,PT,74.5,8/28/2020 22:58,38.52,-28.7,Quinta da Meia Eira
15,Sitia,GR,75.99,8/28/2020 22:58,35.2,26.1,Sitia Bay
16,Neuquen,AR,55.4,8/28/2020 22:58,-38.95,-68.06,Hotel del Comahue
17,Fillan,NO,51.8,8/28/2020 22:58,63.61,8.97,Hjorten Hotell hitra
18,Pringsewu,ID,72.43,8/28/2020 22:58,-5.36,104.97,Urban Style by Front One
19,Vardo,NO,39.2,8/28/2020 22:57,70.37,31.11,Vardø Hotel AS
20,Gorontalo,ID,78.28,8/28/2020 22:58,0.54,123.06,Maqna Hotel by Prasanthi
21,Severnoye,RU,53.62,8/28/2020 22:58,56.35,78.36,Gostinitsa Severyanka
22,Lebanon,US,75.0,8/28/2020 22:53,36.21,-86.29,Hampton Inn & Suites Lebanon
23,Cape Town,ZA,52.0,8/28/2020 22:58,-33.93,18.42,Southern Sun Waterfront Cape Town
24,Ilulissat,GL,46.4,8/28/2020 22:58,69.22,-51.1,Hotel Arctic
25,Hermanus,ZA,50.0,8/28/2020 22:54,-34.42,19.23,Misty Waves Boutique Hotel
