,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.33,44.01,80,17,12.3,AU,8/28/2020 22:58
1,Svobodnyy,51.4,128.13,54.88,74,64,8.86,RU,8/28/2020 22:58
2,Keti Bandar,24.14,67.45,82.35,86,100,16.28,PK,8/28/2020 22:58
3,Bahia Blanca,-38.72,-62.27,55.67,44,39,3.89,AR,8/28/2020 22:54
4,Muros,42.78,-9.06,60.01,86,6,7.61,ES,8/28/2020 22:54
5,Avarua,-21.21,-159.78,77,69,26,11.41,CK,8/28/2020 22:53
6,Ushuaia,-54.8,-68.3,33.8,94,75,18.34,AR,8/28/2020 22:58
7,Saldanha,-33.01,17.94,46.4,87,44,4.7,ZA,8/28/2020 22:58
8,Cabo San Lucas,22.89,-109.91,80.01,88,90,3.36,MX,8/28/2020 22:57
9,Antalaha,-14.9,50.28,67.32,81,26,6.38,MG,8/28/2020 22:58
10,New Norfolk,-42.78,147.06,55,63,100,4,AU,8/28/2020 22:58
11,Qaanaaq,77.48,-69.36,40.08,88,100,4.27,GL,8/28/2020 22:58
12,Puerto Ayora,-0.74,-90.35,66.16,83,43,10.38,EC,8/28/2020 22:58
13,Geraldton,-28.77,114.6,48.2,87,75,4.7,AU,8/28/2020 22:58
14,Ribeira Grande,38.52,-28.7,74.5,93,14,10.89,PT,8/28/2020 22:58
15,Sitia,35.2,26.1,75.99,55,0,5.01,GR,8/28/2020 22:58
16,Neuquen,-38.95,-68.06,55.4,43,99,11.41,AR,8/28/2020 22:58
17,Fillan,63.61,8.97,51.8,81,75,6.93,NO,8/28/2020 22:58
18,Pringsewu,-5.36,104.97,72.43,93,45,2.84,ID,8/28/2020 22:58
19,Vardo,70.37,31.11,39.2,86,40,5.82,NO,8/28/2020 22:57
20,Gorontalo,0.54,123.06,78.28,77,26,4.47,ID,8/28/2020 22:58
21,Severnoye,56.35,78.36,53.62,94,79,7.52,RU,8/28/2020 22:58
22,Lebanon,36.21,-86.29,75,88,75,16.11,US,8/28/2020 22:53
23,Cape Town,-33.93,18.42,52,81,75,4.7,ZA,8/28/2020 22:58
24,Ilulissat,69.22,-51.1,46.4,45,87,13.87,GL,8/28/2020 22:58
25,Hermanus,-34.42,19.23,50,83,24,11.01,ZA,8/28/2020 22:54
26,Barrow,71.29,-156.79,39.2,81,90,13.87,US,8/28/2020 22:55
27,Bethel,41.37,-73.41,80.6,54,1,3.2,US,8/28/2020 22:55
28,Kirakira,-10.45,161.92,82.51,76,100,7.49,SB,8/28/2020 22:58
29,Jimma,7.67,36.83,58.55,88,99,0.74,ET,8/28/2020 22:58
30,Kaputa,-8.47,29.66,70.27,58,13,3.24,ZM,8/28/2020 22:58
31,Axim,4.87,-2.24,74.39,90,75,7.72,GH,8/28/2020 22:58
32,Mataura,-46.19,168.86,45,72,25,11.01,NZ,8/28/2020 22:58
33,Salalah,17.02,54.09,75.2,100,90,3.36,OM,8/28/2020 22:58
34,Port Hardy,50.7,-127.42,60.8,72,75,12.75,CA,8/28/2020 22:56
35,Nador,35.17,-2.93,82.4,48,0,19.46,MA,8/28/2020 22:58
36,Dikson,73.51,80.55,48.45,81,80,6.31,RU,8/28/2020 22:56
37,Albany,42.6,-73.97,75,76,66,3.13,US,8/28/2020 22:58
38,East London,-33.02,27.91,60.31,67,46,3.13,ZA,8/28/2020 22:58
39,Gavle,60.67,17.14,51.01,84,48,4.09,SE,8/28/2020 22:58
40,Matai,-8.3,31.52,60.8,63,5,5.01,TZ,8/28/2020 22:58
41,Jamestown,42.1,-79.24,75,83,75,5.82,US,8/28/2020 22:58
42,Pangnirtung,66.15,-65.71,48.2,81,20,5.82,CA,8/28/2020 22:58
43,Soyo,-6.13,12.37,72.34,87,98,10.04,AO,8/28/2020 22:58
44,Rikitea,-23.12,-134.97,69.08,66,0,5.84,PF,8/28/2020 22:58
45,Kahului,20.89,-156.47,93.2,36,40,24.16,US,8/28/2020 22:58
46,Bengkulu,-3.8,102.27,75.29,83,94,4.99,ID,8/28/2020 22:57
47,Mar Del Plata,-38,-57.56,54,87,68,5.82,AR,8/28/2020 22:57
48,Nanortalik,60.14,-45.24,49.87,75,100,21.92,GL,8/28/2020 22:58
49,Ozernovskiy,51.5,156.52,49.84,94,94,3.33,RU,8/28/2020 22:58
50,Lebu,-37.62,-73.65,45.41,85,92,20.58,CL,8/28/2020 22:56
51,Hamilton,39.18,-84.53,82.4,83,40,10.29,US,8/28/2020 22:58
52,Saint-Hyacinthe,45.62,-72.95,71.01,52,75,8.05,CA,8/28/2020 22:58
53,Georgetown,5.41,100.34,80.6,88,20,2.24,MY,8/28/2020 22:57
54,Pevek,69.7,170.31,40.78,86,67,2.13,RU,8/28/2020 22:58
55,Cidreira,-30.18,-50.21,65.17,77,73,8.46,BR,8/28/2020 22:55
56,Lorengau,-2.02,147.27,83.53,77,100,14.25,PG,8/28/2020 22:58
57,Ossora,59.24,163.07,52.3,75,92,14.41,RU,8/28/2020 22:58
58,Carutapera,-1.2,-46.02,76.44,89,92,4.99,BR,8/28/2020 22:58
59,Saskylakh,71.92,114.08,57.22,55,0,3.74,RU,8/28/2020 22:58
60,Tashtyp,52.79,89.9,53.64,89,100,3.29,RU,8/28/2020 22:58
61,Hobart,-42.88,147.33,55,62,75,16.11,AU,8/28/2020 22:53
62,Mahebourg,-20.41,57.7,71.6,73,75,11.41,MU,8/28/2020 22:58
63,Port Elizabeth,-33.92,25.57,53.6,87,1,6.93,ZA,8/28/2020 22:58
64,Warri,5.52,5.75,75.15,89,100,3.62,NG,8/28/2020 22:58
65,Menongue,-14.66,17.69,62.73,41,48,3.02,AO,8/28/2020 22:58
66,Guasdualito,7.24,-70.73,78.62,88,57,1.25,VE,8/28/2020 22:58
67,Thompson,55.74,-97.86,60.8,77,75,8.05,CA,8/28/2020 22:58
68,Eslov,55.84,13.3,57.99,100,87,6.93,SE,8/28/2020 22:58
69,Suba,10.84,121.01,83.66,74,93,6.69,PH,8/28/2020 22:58
70,Victoria,22.29,114.16,82,78,71,3.51,HK,8/28/2020 22:58
71,Evensk,61.95,159.23,52.72,66,45,11.74,RU,8/28/2020 22:58
72,Port Alfred,-33.59,26.89,57.22,69,0,9.51,ZA,8/28/2020 22:54
73,Margate,51.38,1.39,61,90,35,1.99,GB,8/28/2020 22:58
74,Faanui,-16.48,-151.75,76.17,80,9,20.24,PF,8/28/2020 22:58
75,The Pas,53.83,-101.25,68,56,40,14.99,CA,8/28/2020 22:58
76,Kapaa,22.08,-159.32,84.2,70,20,10.29,US,8/28/2020 22:54
77,Kendari,-3.94,122.5,73.74,88,9,2.91,ID,8/28/2020 22:58
78,Mayumba,-3.43,10.66,74.32,89,100,9.15,GA,8/28/2020 22:58
79,Khatanga,71.97,102.5,55.49,55,10,5.23,RU,8/28/2020 22:58
80,Broome,42.25,-75.83,73.99,73,90,5.82,US,8/28/2020 22:58
81,Kathmandu,27.72,85.32,69.8,94,75,2.24,NP,8/28/2020 22:58
82,Oga,46.46,10.35,61,100,90,2.24,IT,8/28/2020 22:58
83,Mandalgovi,45.76,106.27,51.89,77,64,7.56,MN,8/28/2020 22:58
84,Bredasdorp,-34.53,20.04,48.2,81,2,9.17,ZA,8/28/2020 22:55
85,Eirunepe,-6.66,-69.87,85.44,47,92,1.05,BR,8/28/2020 22:58
86,San-Pedro,4.75,-6.64,74.66,90,57,6.64,CI,8/28/2020 22:58
87,Cerchezu,43.82,28.1,69.8,94,5,4.7,RO,8/28/2020 22:58
88,Ponta Do Sol,32.67,-17.1,75.2,64,20,17.22,PT,8/28/2020 22:58
89,Kangalassy,62.35,129.96,42.8,70,98,2.24,RU,8/28/2020 22:58
90,Berdigestyakh,62.1,126.7,54.46,51,92,4,RU,8/28/2020 22:58
91,Arraial Do Cabo,-22.97,-42.03,71.6,78,0,14.99,BR,8/28/2020 22:57
92,Garden City,42.33,-83.33,73.4,88,90,9.17,US,8/28/2020 22:53
93,Nuuk,64.18,-51.72,60.8,31,100,1.12,GL,8/28/2020 22:58
94,Kaitangata,-46.28,169.85,55,50,63,14,NZ,8/28/2020 22:57
95,Vila Franca Do Campo,37.72,-25.43,75.2,83,20,9.17,PT,8/28/2020 22:58
96,Hami,42.8,93.45,65.53,41,70,15.48,CN,8/28/2020 22:58
97,La Victoria,10.22,-67.33,86,74,40,5.82,VE,8/28/2020 22:58
98,Aljezur,37.32,-8.8,61,86,1,1.01,PT,8/28/2020 22:58
99,Yellowknife,62.46,-114.35,54,87,90,5.82,CA,8/28/2020 22:57
100,Touros,-5.2,-35.46,77,83,9,5.82,BR,8/28/2020 22:58
101,Shirgaon,19.7,72.7,78.96,88,100,7.74,IN,8/28/2020 22:58
102,Morondava,-20.28,44.28,70.99,88,0,7.27,MG,8/28/2020 22:58
103,Saurimo,-9.66,20.39,67.95,79,92,4.54,AO,8/28/2020 22:58
104,Vaini,-21.2,-175.2,78.8,74,75,10.29,TO,8/28/2020 22:57
105,Ipora,-16.44,-51.12,75.33,21,5,3.96,BR,8/28/2020 22:58
106,Prince Rupert,54.32,-130.32,59,72,75,8.05,CA,8/28/2020 22:58
107,Tuktoyaktuk,69.45,-133.04,51.8,62,20,11.41,CA,8/28/2020 22:58
108,Grindavik,63.84,-22.43,48.2,100,90,12.75,IS,8/28/2020 22:58
109,Punta Arenas,-53.15,-70.92,32,90,14,31.09,CL,8/28/2020 22:54
110,Beloha,-25.17,45.05,71.94,58,7,5.84,MG,8/28/2020 22:58
111,Codrington,-38.27,141.97,50.14,72,0,16.93,AU,8/28/2020 22:58
112,Wilmington,34.23,-77.94,89.6,62,1,12.75,US,8/28/2020 22:56
113,Aykhal,66,111.5,48.2,42,75,8.95,RU,8/28/2020 22:58
114,Pumiao,22.75,108.48,77,94,0,4.47,CN,8/28/2020 22:58
115,Havre-Saint-Pierre,50.23,-63.6,59,58,40,13.87,CA,8/28/2020 22:58
116,Dingle,11,122.67,78.51,85,100,3.53,PH,8/28/2020 22:55
117,Constitucion,-35.33,-72.42,50.18,91,100,13.13,CL,8/28/2020 22:58
118,Sao Filipe,14.9,-24.5,80.4,81,89,4.94,CV,8/28/2020 22:56
119,Jiaojiang,28.68,121.44,82,99,87,2.51,CN,8/28/2020 22:58
120,Ulladulla,-35.35,150.47,53.6,58,0,11.41,AU,8/28/2020 22:58
121,Mpika,-11.83,31.45,64.72,41,14,7.02,ZM,8/28/2020 22:58
122,Babu,24.42,111.52,77.16,76,25,1.41,CN,8/28/2020 22:58
123,Sumbe,-11.21,13.84,69.08,83,98,4.63,AO,8/28/2020 22:57
124,Narsaq,60.92,-46.05,60.8,57,100,29.97,GL,8/28/2020 22:56
125,Atuona,-9.8,-139.03,77.86,79,64,22.44,PF,8/28/2020 22:58
126,Havoysund,71,24.66,46.4,70,67,14.99,NO,8/28/2020 22:58
127,Nome,64.5,-165.41,57.99,82,90,3.36,US,8/28/2020 22:58
128,Bluff,-46.6,168.33,45,72,90,11.01,NZ,8/28/2020 22:58
129,Monster,52.03,4.17,59,93,23,11.81,NL,8/28/2020 22:58
130,Cairns,-16.92,145.77,71.6,73,90,19.46,AU,8/28/2020 22:58
131,Bonthe,7.53,-12.51,76.5,87,100,9.57,SL,8/28/2020 22:58
132,Breclav,48.76,16.88,73,69,71,5.01,CZ,8/28/2020 22:58
133,Talnakh,69.49,88.4,48.2,87,49,4.47,RU,8/28/2020 22:57
134,Bakchar,57.02,82.07,51.84,97,49,4.72,RU,8/28/2020 22:58
135,Elat,29.56,34.95,89.6,29,0,13.87,IL,8/28/2020 22:58
136,Muisne,0.6,-80.03,78.8,88,75,8.05,EC,8/28/2020 22:58
